시설명,분류,어른관람료,운영기관전화번호,지역번호
전쟁과여성인권박물관,일반,3000,02-392-5252,02
전쟁기념관,일반,0,02-709-3139,02
종이나라박물관,일반,2000,02-2279-7901,02
짚풀생활사박물관,일반,5000,02-743-8787,02
초전섬유퀼트박물관,일반,5000,02-753-4075,02
춘원당한방박물관,일반,2000,02-3672-2005,02
코리아나화장박물관,일반,3000,02-547-9177,02
탄허기념박물관,일반,0,02-445-8486,02
평강성서유물박물관,일반,2000,02-2686-9496,02
피규어뮤지엄W,일반,15000,070-7404-2240,070
한국가구박물관,일반,20000,02-745-0181,02
한국광고박물관,일반,0,02-2144-0116,02
한국금융사박물관,일반,0,02-738-6806,02
한국색동박물관,일반,400,02-765-9286,02
한국은행 화폐박물관,일반,0,02-759-4881,02
한국잡지박물관,일반,6000,02-360-0041,02
한국천주교순교자박물관,일반,0,02-3142-4504,02
한국현대문학관,일반,3000,02-2277-4857,02
한국현대의상박물관,일반,5000,02-734-7340,02
한무숙 문학관,일반,0,02-762-3093,02
한익환서울아트박물관,일반,0,02-796-0100,02
혜곡최순우기념관,일반,0,02-3675-3401,02
호림박물관(신림본관),일반,4000,02-858-3874,02
호림박물관(신사분관),일반,4000,02-541-3523,02
화정박물관,일반,6000,02-2075-0114,02
건국대학교박물관,대학,0,02-450-3881,02
경희대학교 자연사박물관,대학,0,02-961-0142,02
경희대학교 중앙박물관,대학,0,02-961-0141,02
경희대학교 한의학역사박물관,대학,0,02-961-2274,02
고려대학교박물관,대학,0,02-3290-1514,02
국민대학교박물관,대학,0,02-910-4212,02
덕성여자대학교박물관,대학,0,02-901-8132,02
동국대학교 박물관,대학,0,02-2260-3722,02
삼육대학교박물관,대학,0,02-3399-3065,02
상명대학교 박물관,대학,0,02-791-7920,02
서울대학교치의학대학원치의학박물관,대학,0,02-740-8799,02
서울대학교박물관,대학,0,02-880-5333,02
서울시립대학교 박물관,대학,0,02-6490-6586,02
서울여자대학교박물관,대학,0,02-970-5311,02
성균관대학교 박물관,대학,0,02-760-1216,02
성신여자대학교 박물관,대학,0,02-920-7325,02
성신여자대학교자연사박물관,대학,2000,02-920-2057,02
성신여자대학교정원박광훈 복식박물관,대학,2000,02-920-2657,02
세종대학교박물관,대학,0,02-3408-3876,02
숙명여자대학교박물관,대학,0,02-710-9134,02
숙명여자대학교 정영양자수박물관,대학,0,02-710-9134,02
숭실대학교 한국기독교박물관,대학,0,02-820-0752,02
연세대학교박물관,대학,0,02-2123-3340,02
이화여대박물관,일반,0,02-3277-3152,02
이화여자대학교 자연사박물관,대학,0,02-3277-4700,02
한양대학교박물관,대학,0,02-2220-1394,02
홍익대학교  박물관,대학,0,02-320-1323,02
동덕여자대학교박물관,대학,0,02-940-4232,02
겸재정선미술관,일반,1000,02-2659-2206,02
서울시립미술관,일반,0,02-2124-8800,02
남서울미술관,일반,0,02-598-6245,02
성북구립미술관,일반,2000,02-6925-5011,02
종로구립 박노수미술관,일반,3000,02-2148-4171,02
서울과학기술대학교 미술관,대학,0,02-970-6215,02
서울대학교 미술관,대학,3000,02-880-9504,02
숙명여자대학교 문신미술관,대학,0,02-2077-7052,02
인덕대학교 아정미술관,대학,0,02-950-7331,02
한양여자대학교 미술관,대학,0,02-2290-2543,02
(재)한원미술관,일반,0,02-588-5642,02
63아트미술관,일반,12000,02-780-6382,02
JCC아트센터,일반,10000,02-2183-7373,02
K현대미술관,일반,15000,02-2138-0952,02
OCI미술관,일반,0,02-734-0440,02
김세중미술관,일반,0,02-717-5129,02
금호미술관,일반,3000,02-720-5114,02
대림미술관,일반,5000,02-720-0667,02
밀알미술관,일반,0,02-3412-0061,02
사비나미술관,일반,3000,02-736-4371,02
삼성미술관 Leeum,일반,10000,02-2014-6900,02
상원미술관,일반,1000,02-396-3185,02
성곡미술관,일반,10000,02-737-7650,02
세종문화회관 미술관(세종미술관),일반,10000,02-399-1156,02
세화미술관,일반,0,02-2002-7786,02
소마미술관,일반,3000,02-425-1077,02
아라리오뮤지엄 인 스페이스,일반,10000,02-736-5700,02
아르코미술관,일반,0,02-760-4850,02
아모레퍼시픽미술관,일반,9000,02-6040-2345,02
아트선재센터,일반,5000,02-733-8949,02
아트센터나비미술관,일반,5000,02-2121-1031,02
한가람미술관,일반,10000,02-580-1300,02
한가람디자인미술관,일반,10000,02-580-1300,02
예술의전당 서울서예박물관,일반,5000,02-580-1300,02
유리지공예관,일반,0,02-578-6663,02
일민미술관,일반,4000,02-2020-2050,02
자하미술관,일반,2000,02-395-3222,02
코리아나미술관,일반,3000,02-547-9177,02
토탈미술관,일반,3000,02-379-7037,02
포스코미술관,일반,0,02-3457-1665,02
학아재미술관,일반,10000,02-766-7647,02
한미사진미술관,일반,6000,02-418-1315,02
헬로우뮤지움,일반,5000,02-3217-4222,02
환기미술관,일반,10000,02-391-7701,02
동아대학교석당박물관,대학,0,051-200-8493,051
동아대학교석당박물관,대학,0,051-200-8749,051
포항시립미술관,일반,0,054-270-4631,054
영일민속박물관,일반,0,054-270-5811,054
수원광교박물관,일반,2000,031-228-4175,031
수원화성박물관,일반,2000,031-228-4242,031
수원박물관,일반,2000,031-228-4150,031
수원시립아이파크미술관,일반,4000,031-228-3800,031
청송민속박물관,일반,0,054-870-6094,054
군립청송야송미술관,일반,0,054-872-6436,054
청송수석꽃돌박물관,일반,0,054-873-2400,054
목포자연사박물관,일반,3000,061-274-3655,061
목포생활도자박물관,일반,3000,061-270-8480,061
사상생활사박물관,일반,0,051-310-5136,051
울주민속박물관,일반,0,052-237-0855,052
울산옹기박물관,일반,0,052-237-7894,052
울산해양박물관,일반,5000,052-239-6708,052
충렬공박제상기념관,일반,0,052-229-9531,052
철박물관,일반,0,043-883-2321,043
한독의약박물관,일반,0,043-530-1004,043
수양개선사유물전시관,일반,2000,043-423-8502,043
불교천태중앙박물관,일반,0,043-423-9103,043
청주고인쇄박물관,일반,0,043-201-4262,043
청주시립미술관,일반,1000,043-201-2650,043
충주고구려천문과학관,일반,3000,043-842-3247,043
세계무술박물관,일반,0,043-850-6733,043
충렬사유물전시관,일반,0,043-850-7302,043
충주박물관,일반,0,043-850-3927,043
조동리선사유적박물관,일반,0,043-850-3991,043
충주과수과학관,일반,0,043-850-3258,043
한국교통대학교 박물관,대학,0,043-841-5696,043
세계술문화박물관,일반,5000,043-855-7333,043
제천유물전시관,일반,3000,043-641-5532,043
제천의병전시관,일반,0,043-641-4808,043
국제한방발효박물관,일반,0,043-653-9550,043
지적박물관,일반,5000,043-651-5115,043
옥천향토전시관,일반,0,043-730-3417,043
영동군 난계국악박물관,일반,2000,043-740-3886,043
증평민속체험박물관,일반,0,043-835-4161,043
진천종박물관,일반,1500,043-539-3847,043
진천군립생거판화미술관,일반,1500,043-539-3607,043
농업역사박물관,일반,0,043-830-2684,043
보령박물관,일반,0,041-930-4947,041
보령석탄박물관,일반,1500,041-934-1902,041
모산조형미술관,일반,0,041-933-8100,041
반달미술관(여주세계생활도자관),일반,0,031-884-8644,031
여주산림박물관,일반,0,031-887-2741,031
목아박물관,일반,5000,031-885-9952,031
여성생활사박물관,일반,5000,031-882-8100,031
한얼테마박물관,일반,5000,031-881-6316,031
어우재미술관,일반,2000,031-883-9080,031
죽포미술관,일반,0,031-881-5905,031
곤충박물관,일반,4000,031-885-1400,031
성지박물관,일반,5000,031-884-0118,031
여주시립폰박물관,일반,3000,031-887-3548,031
명성황후기념관,일반,1000,031-880-4022,031
여주박물관,일반,0,031-887-3583,031
향토사료관,일반,0,031-345-3666,031
철도박물관,일반,2000,031-461-3610,031
경산시립박물관,일반,0,053-804-7314,053
삼성현역사문화관,일반,2000,053-804-7329,053
한얼문예박물관,일반,0,033-345-0151,033
대한민국 술테마박물관,일반,2000,063-290-3842,063
온양민속박물관,일반,5000,041-542-6001,041
영인산산림박물관,일반,0,041-538-1946,041
외암민속관,일반,2000,041-536-8497,041
공세리성당박물관,일반,0,041-533-8181,041
정린박물관,일반,4000,041-549-4005,041
당림미술관,일반,4000,041-543-6969,041
진안가위박물관,일반,4000,063-432-3232,063
진안역사박물관,일반,0,063-430-8085,063
용담호사진문화관,일반,0,063-430-2325,063
수몰문화미술관,일반,0,063-430-2325,063
화천민속박물관,일반,0,033-440-2549,033
보은향토민속자료전시관,일반,0,043-540-3898,043
솔향공원 소나무전시관,일반,0,043-540-3774,043
옥천골미술관,일반,0,063-650-1638,063
섬진강미술관,일반,0,063-653-2296,063
순창장류박물관,일반,0,063-650-1627,063
한신대학교박물관,대학,0,031-379-0195,031
유엔군초전기념관,일반,0,031-377-1625,031
호림박물관,일반,4000,02-858-2500,02
서울대학교 박물관,대학,0,02-880-5332,02
서울시립 남서울미술관,일반,0,02-598-6247,02
서울대학교 미술관,대학,3000,02-880-9504,02
윤봉길의사기념관,일반,0,041-337-4108,041
한국고건축박물관,일반,2000,041-337-5877,041
수덕사근역성보관,일반,3000,041-337-2902,041
한국문인인장박물관,일반,0,031-302-0591,031
한국토종씨앗박물관,일반,1000,041-333-5613,041
수덕사선미술관,일반,3000,,
부산대박물관,일반,0,051-510-1838,051
범어사성보박물관,일반,0,051-508-6139,051
오륜대한국순교자박물관,일반,2000,051-583-2923,051
킴스아트필드미술관,일반,0,051-517-6800,051
인하대학교박물관,대학,0,032-860-8260,032
국제성서박물관,일반,0,032-874-0385,032
불교사리박물관,일반,0,032-875-2384,032
범패박물관,일반,3000,032-886-0029,032
송암미술관,일반,0,032-440-6770,032
인천어린이박물관,일반,5000,032-432-5600,032
송암박두성기념관,일반,0,032-876-3500,032
오죽헌/시립박물관,일반,3000,033-660-3300,033
대관령박물관,일반,1000,033-660-3300,033
강릉시립미술관,일반,0,033-640-4271,033
오산리선사유적박물관,일반,1000,033-670-2442,033
일현미술관,일반,2000,033-670-8450,033
영양산촌박물관,일반,0,054-680-5367,054
월정사 성보박물관,일반,0,033-339-7000,033
고려궁박물관,일반,0,033-336-1111,033
성호기념관,일반,500,031-481-2574,031
최용신기념관,일반,0,031-481-3040,031
안산향토사박물관,일반,0,031-415-0041,031
안산어촌민속박물관,일반,2000,032-886-2912,032
단원미술관,일반,2000,031-481-0505,031
맥아트미술관,일반,10000,032-888-6262,032
유리섬미술관,일반,10000,032-888-6262,032
정문규미술관,일반,0,032-881-2753,032
종이미술관,일반,5000,032-887-0606,032
이풀실내정원,일반,0,031-437-2525,031
영동군 난계국악박물관,일반,2000,043-740-3886,043
충주고구려천문과학관,일반,3000,043-842-3247,043
세계무술박물관,일반,0,043-850-6733,043
충렬사유물전시관,일반,0,043-850-7302,043
충주박물관,일반,0,043-850-3927,043
조동리선사유적박물관,일반,0,043-850-3991,043
충주과수과학관,일반,0,043-850-3258,043
한국교통대학교 박물관,대학,0,043-841-5696,043
세계술문화박물관,일반,5000,043-855-7333,043
관아갤러리,일반,0,043-850-3911,043
성마루미술관,일반,0,043-853-1883,043
외솔기념관,일반,0,052-290-4828,052
고은사진미술관,일반,0,051-746-0055,051
최북미술관,일반,0,063-320-5636,063
반디랜드 곤충박물관,일반,5000,063-324-1188,063
철박물관,일반,0,043-883-2321,043
한독의약박물관,일반,0,043-530-1004,043
순천시립뿌리깊은나무박물관,일반,1000,061-749-8858,061
순천시기독교역사박물관,일반,0,061-749-4532,061
고암 이응노생가 기념관,일반,1000,041-630-9232,041
결성농요농사박물관,일반,0,041-642-1993,041
홍주성 역사관,일반,0,041-630-9240,041
한국식기박물관,일반,0,041-642-3833,041
대담,일반,0,061-381-0082,061
보임쉔,일반,0,061-383-6473,061
나야나,일반,0,061-380-0080,061
담양우표,일반,0,061-383-3863,061
미암,일반,0,061-381-1239,061
속초시박물관,일반,2000,033-639-2978,033
부산광역시립미술관,일반,0,051-744-2602,051
부산현대미술관,일반,0,051-220-7400,051
안성맞춤박물관,일반,0,031-676-4352,031
안성3.1운동기념관,일반,0,031-678-2507,031
조병화문학관,일반,3000,031-674-0307,031
DIMA MOA,일반,0,031-670-6938,031
경기여고경운박물관,일반,2000,02-3463-1336,02
세계골프역사박물관,일반,5000,02-2192-3005,02
코리아나 화장박물관,일반,4000,031-722-7000,031
도산안창호기념관,일반,0,02-541-1800,02
관세박물관,일반,0,02-510-1082,02
탄허기념박물관,일반,0,02-445-8486,02
호림박물관 신사분관,일반,8000,02-858-2500,02
포스코미술관,일반,0,02-3457-1665,02
코리아나미술관,일반,4000,031-722-7000,031
밀알미술관,일반,0,02-3412-0061,02
피규어뮤지엄W,일반,15000,070-7404-2240,070
K현대미술관,일반,15000,02-2138-0952,02
안상철미술관,일반,3000,031-874-0734,031
필룩스조명박물관,일반,5000,070-7780-8911,070
청암박물관,일반,5000,03-855-5100,03
양주시립장욱진미술관,일반,5000,031-8082-4245,031
가나아트파크,일반,8000,031-877-0500,031
울진봉평신라비전시관,일반,0,054-789-5460,054
향암미술관,일반,3000,054-787-0001,054
제천유물전시관,일반,3000,043-641-5532,043
제천의병전시관,일반,0,043-641-4808,043
국제한방발효박물관,일반,0,043-653-9550,043
지적박물관,일반,5000,043-651-5115,043
부평역사박물관,일반,0,032-515-6471,032
진천종박물관,일반,1500,043-539-3847,043
진천군립생거판화미술관,일반,1500,043-539-3607,043
화폐박물관,일반,3000,031-949-6592,031
기산미술관,일반,4000,031-943-8232,031
블루메미술관,일반,3000,031-944-6324,031
미메시스아트뮤지엄,일반,3000,031-955-4100,031
아트센터화이트블럭,일반,2000,031-992-4400,031
피노키오뮤지엄,일반,8000,031-8035-6773,031
벽봉한국장신구박물관,일반,5000,031-949-0848,031
영집궁시전시관,일반,3000,031-944-6800,031
파주나비나라박물관,일반,4000,031-955-3727,031
한국근현대사박물관,일반,7000,031-957-1125,031
한길책박물관,일반,6000,031-949-9786,031
세계민속악기박물관,일반,5000,031-946-9838,031
두루뫼사료관,일반,5000,031-958-6101,031
한향림옹기박물관,일반,3000,070-4161-7271,070
세계인형박물관,일반,5000,031-947-2575,031
타임앤블레이드박물관,일반,6000,031-949-5675,031
함안박물관,일반,0,055-580-3905,055
함안박물관,일반,0,055-580-3905,055
함안박물관,일반,0,055-580-3905,055
함안박물관,일반,0,055-580-3905,055
한양여자대학교 미술관,대학,0,02-2290-2506,02
헬로우뮤지움 동네미술관,일반,5000,02-562-4420,02
한양대학교 박물관,대학,0,02-2220-1394,02
수도박물관,일반,0,02-3146-5921,02
청계천박물관,일반,0,02-2286-3410,02
충현박물관,일반,3500,02-898-0505,02
극재미술관,일반,0,053-620-2381,053
태백고생대자연사박물관,일반,2000,033-581-3131,033
태백석탄박물관,일반,0,033-552-7720,033
고남패총박물관,일반,1200,041-670-5617,041
보성군립백민미술관,일반,0,061-853-0003,061
한국차박물관,일반,1000,061-852-0918,061
함양박물관,일반,0,055-960-5532,055
박물관수,일반,5000,053-744-5500,053
대구은행금융박물관,일반,0,053-740-2061,053
국립대구박물관,일반,0,053-768-6051,053
증평민속체험박물관,일반,0,043-835-4161,043
